Satellite,Epoch Time,x,y,z
GPS12,2009-06-30 10:00:00,-14772768.704989722,12147409.267444152,-18310643.650222603
GPS12,2009-06-30 11:59:44,-14772621.328725645,12146853.215282563,-18311131.900146924
GPS12,2009-06-30 12:00:00,-14772618.381446095,12146852.547442898,-18311134.58527807
GPS12,2009-06-30 13:59:44,-14771416.21493589,12147184.818727555,-18311886.229856092
GPS12,2009-06-30 16:00:00,-14771117.919716949,12147284.54105508,-18312066.807794545
GPS12,2009-06-30 18:00:00,-14771472.064525066,12147422.38737912,-18311729.98956277
GPS12,2009-06-30 20:00:00,-14771542.424940893,12147427.067596382,-18311680.552057408
GPS12,2009-06-30 22:00:00,-14771400.526729554,12147621.810822763,-18311668.695317507
GPS13,2009-06-30 00:00:00,-4677815.398910458,-24422760.669735823,-9454281.90870102
GPS13,2009-06-30 02:00:00,-4677417.2865325725,-24422423.878184855,-9455362.589394124
GPS13,2009-06-30 04:00:00,-4678542.907374404,-24422742.83976756,-9453887.659680463
GPS13,2009-06-30 06:00:00,-4677378.489516958,-24422785.98134122,-9454539.184437
GPS13,2009-06-30 08:00:00,-4678890.355568383,-24423006.520059947,-9452953.860869627
GPS13,2009-06-30 09:59:44,-4678024.756946433,-24422759.25588604,-9454060.698002106
GPS13,2009-06-30 10:00:00,-4678029.501432369,-24422760.462595053,-9454054.79954858
GPS13,2009-06-30 11:59:44,-4678608.6606977,-24422828.89049659,-9453585.106761066
GPS13,2009-06-30 14:00:00,-4677670.4894529,-24422948.597601436,-9453744.986842116
GPS13,2009-06-30 16:00:00,-4679276.837097725,-24423357.792700578,-9451780.973909732
GPS13,2009-06-30 18:00:00,-4677953.630217744,-24423276.518947512,-9452798.182782527
GPS13,2009-06-30 20:00:00,-4678683.640710612,-24423551.75482023,-9451501.49061912
GPS13,2009-06-30 22:00:00,-4677506.007259319,-24423218.9996238,-9452967.8184788
GPS14,2009-06-30 00:00:00,15019155.994174484,21019652.822166145,-6320326.6348389825
GPS14,2009-06-30 02:00:00,15019315.595980791,21019733.705999166,-6319691.598759262
GPS14,2009-06-30 04:00:00,15019913.737477604,21018748.46433975,-6321408.50790888
GPS14,2009-06-30 06:00:00,15018645.842988199,21019740.660984997,-6321374.153520515
GPS14,2009-06-30 08:00:00,15018352.772251265,21019854.465231005,-6321687.240142302
GPS14,2009-06-30 10:00:00,15018237.471642302,21020092.239076655,-6321251.897987368
GPS14,2009-06-30 12:00:00,15019271.045586847,21019233.128151983,-6321642.272933357
GPS14,2009-06-30 13:59:44,15019186.878079828,21019373.45795323,-6321380.510799044
GPS14,2009-06-30 14:00:00,15019188.939505765,21019370.52246155,-6321384.549324517
GPS14,2009-06-30 15:59:44,15019978.354418024,21018246.867207393,-6323106.346752287
GPS14,2009-06-30 18:00:00,15019218.216214567,21019166.744125012,-6322115.180617836
GPS14,2009-06-30 20:00:00,15018721.58734634,21019594.330241952,-6321876.288410713
GPS14,2009-06-30 22:00:00,15018142.793435272,21020472.160197463,-6320430.996232271
GPS15,2009-06-30 00:00:00,-13299697.534197241,7614213.476263931,21713346.35169419
GPS15,2009-06-30 02:00:00,-13299999.226915212,7613075.557342402,21713562.35025447
GPS15,2009-06-30 04:00:00,-13299643.974989837,7613582.4873924125,21713585.5593857
GPS15,2009-06-30 06:00:00,-13299662.894457076,7612698.165812389,21713935.219712485
GPS15,2009-06-30 08:00:00,-13298469.599477798,7614141.936438982,21714071.316827253
GPS15,2009-06-30 09:59:44,-13299120.516749527,7613090.433224717,21714066.1821931
GPS15,2009-06-30 10:00:00,-13299117.539081117,7613092.879690629,21714067.01490582
GPS15,2009-06-30 11:59:44,-13298294.080562092,7615472.979078869,21713732.625657078
GPS15,2009-06-30 14:00:00,-13298900.406255191,7615058.841745738,21713508.24860101
GPS15,2009-06-30 16:00:00,-13298654.87167356,7615597.246150298,21713453.189505894
GPS15,2009-06-30 18:00:00,-13299850.369914645,7614351.585946184,21713221.06822786
GPS15,2009-06-30 20:00:00,-13299545.4759196,7615488.289263694,21712937.52971638
GPS15,2009-06-30 22:00:00,-13300919.266886242,7613051.649248085,21712976.95577093
GPS16,2009-06-30 00:00:00,26609505.80495456,1907470.6669339384,-876711.4452351934
GPS16,2009-06-30 02:00:00,26609433.506571554,1908348.4898829767,-876977.3333926921
GPS16,2009-06-30 04:00:00,26609408.90032696,1908492.6991714688,-877119.9511699838
GPS16,2009-06-30 05:59:44,26609402.4388901,1908164.1594981602,-877007.5042792353
GPS16,2009-06-30 06:00:00,26609402.592054732,1908162.7138972355,-877004.6349615111
GPS16,2009-06-30 07:59:44,26609412.105905868,1907828.5888716525,-877651.4162923538
GPS16,2009-06-30 10:00:00,26609385.128750563,1908082.5246625505,-878073.4841370467
GPS16,2009-06-30 12:00:00,26609351.709657677,1908396.0996009356,-878383.6658683564
GPS16,2009-06-30 14:00:00,26609347.7414856,1908495.38508087,-878295.5496700485
GPS16,2009-06-30 16:00:00,26609353.140140343,1908471.7304332869,-878064.4232370175
GPS16,2009-06-30 18:00:00,26609410.56489611,1907767.311272973,-876745.1648037551
GPS16,2009-06-30 20:00:00,26609462.35593848,1907283.7392739367,-876181.9739925716
GPS16,2009-06-30 22:00:00,26609456.393917855,1907273.0485330804,-876586.4335647525
GPS17,2009-06-30 00:00:00,-15127483.74953692,-21338674.724819742,-5099984.083257498
GPS17,2009-06-30 02:00:00,-15127268.863644589,-21338895.450112198,-5099705.386649584
GPS17,2009-06-30 04:00:00,-15127687.095058579,-21338398.637035415,-5100407.843305242
