time	GPS	SVclockBias	SVclockDrift	SVclockDriftRate	IODE	Crs	DeltaN	M0	Cuc	Eccentricity	Cus	sqrtA	Toe	Cic	Omega0	Cis	Io	Crc	omega	OmegaDot	IDOT	CodesL2	GPSWeek	L2Pflag	SVacc	health	TGD	IODC	TransTime	FitIntvl
2009-06-30 20:00:00	GPS01	-7.02226534486e-05	4.43378667114e-12	0.0	60.0	-14.0	6.0723957968e-09	1.88834087119	-8.2328915596e-07	0.00355951325037	6.88619911671e-06	5153.74890518	244800.0	-1.04308128357e-07	-3.12387190704	-4.47034835815e-08	0.961513512291	247.09375	0.920368195224	-8.08997983728e-09	1.80364655769e-10	1.0	1538.0	0.0	2.0	63.0	-1.30385160446e-08	60.0	239340.0	0.0
2009-06-30 22:00:00	GPS01	-7.01905228198e-05	4.43378667114e-12	0.0	65.0	-14.21875	6.06989569266e-09	2.93844168036	-8.15838575363e-07	0.00355941103771	6.73905014992e-06	5153.74925041	252000.0	-3.53902578354e-08	-3.12393002585	-1.08033418655e-07	0.96151498545	248.5625	0.920413307229	-8.06390732268e-09	1.97865384745e-10	1.0	1538.0	0.0	2.0	63.0	-1.30385160446e-08	65.0	244849.0	4.0
2009-06-30 23:59:44	GPS01	-7.01588578522e-05	4.43378667114e-12	0.0	7.0	-14.125	6.12596945693e-09	-2.29693136574	-7.56233930588e-07	0.00355940125883	6.80796802044e-06	5153.74924088	259184.0	1.24797224999e-07	-3.12398907361	2.04890966415e-08	0.961516784839	248.5625	0.92041406502	-8.12390982202e-09	3.56086260994e-10	1.0	1538.0	0.0	2.0	63.0	-1.30385160446e-08	7.0	253680.0	0.0
2009-06-30 00:00:00	GPS02	0.000158044975251	1.36424205266e-12	0.0	65.0	65.90625	4.92127641949e-09	1.42212759737	3.60235571861e-06	0.0090503396932	8.77119600773e-06	5153.6761055	172800.0	7.63684511185e-08	-1.03546598882	1.50874257088e-07	0.940925222478	197.40625	2.85240835172	-8.17462622028e-09	-2.02508435289e-10	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	65.0	168552.0	4.0
2009-06-30 02:00:00	GPS02	0.000158054754138	1.36424205266e-12	0.0	66.0	73.5625	4.8837748574e-09	2.47204451188	3.90969216824e-06	0.00905016995966	9.88878309727e-06	5153.68038368	180000.0	-4.47034835815e-08	-1.03552506584	1.84401869774e-07	0.940923885371	179.28125	2.85267155409	-8.13855328913e-09	-1.47148986489e-10	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	66.0	172818.0	4.0
2009-06-30 04:00:00	GPS02	0.000158064998686	1.36424205266e-12	0.0	67.0	80.625	4.90484716372e-09	-2.76089191396	4.08291816711e-06	0.00905030139256	9.54233109951e-06	5153.67998123	187200.0	-1.41561031342e-07	-1.03558363231	7.82310962677e-08	0.940923238761	185.0	2.8526032285	-8.08962267954e-09	-9.75040614355e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	67.0	183918.0	4.0
2009-06-30 06:00:00	GPS02	0.000158075243235	1.36424205266e-12	0.0	68.0	68.46875	5.08592613495e-09	-1.71086830737	3.54275107384e-06	0.00905047159176	9.19029116631e-06	5153.67770195	194400.0	-5.58793544769e-08	-1.03564357976	-1.84401869774e-07	0.940922138647	192.375	2.8527603459	-8.30677458193e-09	3.10727228751e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	68.0	187218.0	4.0
2009-06-30 07:59:44	GPS02	0.000158084090799	1.36424205266e-12	0.0	24.0	59.78125	5.14485716109e-09	-0.663171183787	3.1478703022e-06	0.00905065797269	8.70414078236e-06	5153.67538261	201584.0	4.28408384323e-08	-1.03570360914	-1.06170773506e-07	0.940922693093	202.46875	2.85291402691	-8.33499004293e-09	8.25034365993e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	24.0	196218.0	4.0
2009-06-30 08:00:00	GPS02	0.000158085022122	1.36424205266e-12	0.0	69.0	59.78125	5.14521431883e-09	-0.660837250135	3.1478703022e-06	0.00905066099949	8.70414078236e-06	5153.67538452	201600.0	4.28408384323e-08	-1.03570375251	-1.06170773506e-07	0.940922674075	202.46875	2.85291382649	-8.33499004293e-09	8.32177520677e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	69.0	194418.0	4.0
2009-06-30 09:59:44	GPS02	0.000158094335347	1.36424205266e-12	0.0	35.0	54.03125	5.12307053931e-09	0.387066692024	2.88151204586e-06	0.00905082479585	8.90158116817e-06	5153.67582703	208784.0	1.17346644402e-07	-1.0357636078	-9.12696123123e-08	0.940923316296	198.34375	2.85285973363	-8.31463205208e-09	7.07172313708e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	35.0	201618.0	4.0
2009-06-30 12:00:00	GPS02	0.000158104579896	1.36424205266e-12	0.0	36.0	62.25	4.9527063001e-09	1.43946732105	3.15718352795e-06	0.00905076810159	9.28528606892e-06	5153.67737961	216000.0	5.21540641785e-08	-1.03582206162	1.26659870148e-07	0.940924157474	190.125	2.85297614972	-8.12105256015e-09	-4.000166623e-11	1.0	1538.0	0.0	2.0	0.0	-1.72294676304e-08	36.0	211830.0	0.0
