Satellite,Epoch Time,Parameter,Value
QZSS03,2021-03-19 00:00:00,Cis,-1.896172761917e-06
QZSS03,2021-03-19 00:00:00,Io,0.7128550679949
QZSS03,2021-03-19 00:00:00,Crc,32.6875
QZSS03,2021-03-19 00:00:00,omega,-1.572460192764
QZSS03,2021-03-19 00:00:00,OmegaDot,-1.687570294077e-09
QZSS03,2021-03-19 00:00:00,IDOT,6.678849629467e-10
QZSS03,2021-03-19 00:00:00,CodesL2,2.0
QZSS03,2021-03-19 00:00:00,GPSWeek,2149.0
QZSS03,2021-03-19 00:00:00,L2Pflag,0.0
QZSS03,2021-03-19 00:00:00,SVacc,2.8
QZSS03,2021-03-19 00:00:00,health,0.0
QZSS03,2021-03-19 00:00:00,TGD,0.0
QZSS03,2021-03-19 00:00:00,IODC,797.0
QZSS03,2021-03-19 00:00:00,TransTime,431976.0
QZSS03,2021-03-19 00:00:00,FitIntvl,0.0
QZSS07,2021-03-19 01:00:00,SVclockBias,-1.583248376846e-08
QZSS07,2021-03-19 01:00:00,SVclockDrift,0.0
QZSS07,2021-03-19 01:00:00,SVclockDriftRate,0.0
QZSS07,2021-03-19 01:00:00,IODE,33.0
QZSS07,2021-03-19 01:00:00,Crs,-299.3125
QZSS07,2021-03-19 01:00:00,DeltaN,0.0
QZSS07,2021-03-19 01:00:00,M0,-0.7659752253484
QZSS07,2021-03-19 01:00:00,Cuc,-9.922310709953e-06
QZSS07,2021-03-19 01:00:00,Eccentricity,0.0001336464192718
QZSS07,2021-03-19 01:00:00,Cus,6.614252924919e-06
QZSS07,2021-03-19 01:00:00,sqrtA,6493.426372528
QZSS07,2021-03-19 01:00:00,Toe,435600.0
QZSS07,2021-03-19 01:00:00,Cic,-8.177012205124e-07
QZSS07,2021-03-19 01:00:00,Omega0,0.3837074941802
QZSS07,2021-03-19 01:00:00,Cis,-5.662441253662e-07
QZSS07,2021-03-19 01:00:00,Io,0.001255422167658
QZSS07,2021-03-19 01:00:00,Crc,-198.40625
QZSS07,2021-03-19 01:00:00,omega,2.948191874288
QZSS07,2021-03-19 01:00:00,OmegaDot,1.150047904111e-09
QZSS07,2021-03-19 01:00:00,IDOT,0.0
QZSS07,2021-03-19 01:00:00,CodesL2,2.0
QZSS07,2021-03-19 01:00:00,GPSWeek,2149.0
QZSS07,2021-03-19 01:00:00,L2Pflag,0.0
QZSS07,2021-03-19 01:00:00,SVacc,2.8
QZSS07,2021-03-19 01:00:00,health,0.0
QZSS07,2021-03-19 01:00:00,TGD,-6.053596735001e-09
QZSS07,2021-03-19 01:00:00,IODC,801.0
QZSS07,2021-03-19 01:00:00,TransTime,432006.0
QZSS07,2021-03-19 01:00:00,FitIntvl,0.0
QZSS01,2021-03-19 01:00:00,SVclockBias,-0.0003562918864191
QZSS01,2021-03-19 01:00:00,SVclockDrift,-3.410605131648e-12
QZSS01,2021-03-19 01:00:00,SVclockDriftRate,0.0
QZSS01,2021-03-19 01:00:00,IODE,33.0
QZSS01,2021-03-19 01:00:00,Crs,-96.8125
QZSS01,2021-03-19 01:00:00,DeltaN,1.685784505406e-09
QZSS01,2021-03-19 01:00:00,M0,-1.377540392475
QZSS01,2021-03-19 01:00:00,Cuc,-3.17394733429e-06
QZSS01,2021-03-19 01:00:00,Eccentricity,0.07490591728128
QZSS01,2021-03-19 01:00:00,Cus,2.918764948845e-06
QZSS01,2021-03-19 01:00:00,sqrtA,6492.965410233
QZSS01,2021-03-19 01:00:00,Toe,435600.0
QZSS01,2021-03-19 01:00:00,Cic,2.957880496979e-06
QZSS01,2021-03-19 01:00:00,Omega0,-0.558380960294
QZSS01,2021-03-19 01:00:00,Cis,5.029141902924e-07
QZSS01,2021-03-19 01:00:00,Io,0.7311234023387
QZSS01,2021-03-19 01:00:00,Crc,56.5625
QZSS01,2021-03-19 01:00:00,omega,-1.572074887938
QZSS01,2021-03-19 01:00:00,OmegaDot,-1.27505311108e-09
QZSS01,2021-03-19 01:00:00,IDOT,-9.571827276455e-11
QZSS01,2021-03-19 01:00:00,CodesL2,2.0
QZSS01,2021-03-19 01:00:00,GPSWeek,2149.0
QZSS01,2021-03-19 01:00:00,L2Pflag,0.0
QZSS01,2021-03-19 01:00:00,SVacc,2.8
QZSS01,2021-03-19 01:00:00,health,0.0
QZSS01,2021-03-19 01:00:00,TGD,-5.587935447693e-09
QZSS01,2021-03-19 01:00:00,IODC,801.0
QZSS01,2021-03-19 01:00:00,TransTime,432006.0
QZSS01,2021-03-19 01:00:00,FitIntvl,0.0
QZSS02,2021-03-19 01:00:00,SVclockBias,3.631226718426e-06
QZSS02,2021-03-19 01:00:00,SVclockDrift,6.821210263297e-13
QZSS02,2021-03-19 01:00:00,SVclockDriftRate,0.0
QZSS02,2021-03-19 01:00:00,IODE,33.0
QZSS02,2021-03-19 01:00:00,Crs,782.65625
QZSS02,2021-03-19 01:00:00,DeltaN,1.194692620886e-09
QZSS02,2021-03-19 01:00:00,M0,2.641221379301
QZSS02,2021-03-19 01:00:00,Cuc,2.327375113964e-05
QZSS02,2021-03-19 01:00:00,Eccentricity,0.07464798330329
QZSS02,2021-03-19 01:00:00,Cus,6.524845957756e-06
QZSS02,2021-03-19 01:00:00,sqrtA,6493.657266617
QZSS02,2021-03-19 01:00:00,Toe,435600.0
QZSS02,2021-03-19 01:00:00,Cic,-2.387911081314e-06
QZSS02,2021-03-19 01:00:00,Omega0,1.724558300604
QZSS02,2021-03-19 01:00:00,Cis,-1.091510057449e-06
QZSS02,2021-03-19 01:00:00,Io,0.7417663478772
QZSS02,2021-03-19 01:00:00,Crc,-99.71875
QZSS02,2021-03-19 01:00:00,omega,-1.566695669403
QZSS02,2021-03-19 01:00:00,OmegaDot,-1.841148119781e-09
QZSS02,2021-03-19 01:00:00,IDOT,-8.007476400676e-10
QZSS02,2021-03-19 01:00:00,CodesL2,2.0
QZSS02,2021-03-19 01:00:00,GPSWeek,2149.0
QZSS02,2021-03-19 01:00:00,L2Pflag,0.0
QZSS02,2021-03-19 01:00:00,SVacc,2.8
QZSS02,2021-03-19 01:00:00,health,0.0
QZSS02,2021-03-19 01:00:00,TGD,9.313225746155e-10
QZSS02,2021-03-19 01:00:00,IODC,801.0
QZSS02,2021-03-19 01:00:00,TransTime,432006.0
QZSS02,2021-03-19 01:00:00,FitIntvl,0.0
QZSS03,2021-03-19 01:00:00,SVclockBias,-1.937616616488e-06
QZSS03,2021-03-19 01:00:00,SVclockDrift,-5.684341886081e-13
QZSS03,2021-03-19 01:00:00,SVclockDriftRate,0.0
QZSS03,2021-03-19 01:00:00,IODE,33.0
QZSS03,2021-03-19 01:00:00,Crs,-403.09375
QZSS03,2021-03-19 01:00:00,DeltaN,5.310935507496e-10
QZSS03,2021-03-19 01:00:00,M0,0.9291469237732
QZSS03,2021-03-19 01:00:00,Cuc,-1.355074346066e-05
QZSS03,2021-03-19 01:00:00,Eccentricity,0.07447492505889
QZSS03,2021-03-19 01:00:00,Cus,3.3900141716e-06
QZSS03,2021-03-19 01:00:00,sqrtA,6493.245529175
QZSS03,2021-03-19 01:00:00,Toe,435600.0
QZSS03,2021-03-19 01:00:00,Cic,2.346932888031e-07
QZSS03,2021-03-19 01:00:00,Omega0,-2.858374313049
QZSS03,2021-03-19 01:00:00,Cis,-4.129484295845e-06
QZSS03,2021-03-19 01:00:00,Io,0.7128633407967
QZSS03,2021-03-19 01:00:00,Crc,81.5
QZSS03,2021-03-19 01:00:00,omega,-1.572321244805
QZSS03,2021-03-19 01:00:00,OmegaDot,-4.514473760239e-10
QZSS03,2021-03-19 01:00:00,IDOT,7.728893368003e-10
QZSS03,2021-03-19 01:00:00,CodesL2,2.0
QZSS03,2021-03-19 01:00:00,GPSWeek,2149.0
QZSS03,2021-03-19 01:00:00,L2Pflag,0.0
QZSS03,2021-03-19 01:00:00,SVacc,2.8
QZSS03,2021-03-19 01:00:00,health,0.0
QZSS03,2021-03-19 01:00:00,TGD,0.0
QZSS03,2021-03-19 01:00:00,IODC,801.0
QZSS03,2021-03-19 01:00:00,TransTime,432006.0
QZSS03,2021-03-19 01:00:00,FitIntvl,0.0
QZSS07,2021-03-19 02:00:00,SVclockBias,-1.490116119385e-08
QZSS07,2021-03-19 02:00:00,SVclockDrift,0.0
QZSS07,2021-03-19 02:00:00,SVclockDriftRate,0.0
QZSS07,2021-03-19 02:00:00,IODE,37.0
QZSS07,2021-03-19 02:00:00,Crs,-337.375
QZSS07,2021-03-19 02:00:00,DeltaN,0.0
QZSS07,2021-03-19 02:00:00,M0,-0.488059946753
QZSS07,2021-03-19 02:00:00,Cuc,-1.112557947636e-05
QZSS07,2021-03-19 02:00:00,Eccentricity,0.0001365961506963
QZSS07,2021-03-19 02:00:00,Cus,6.688758730888e-06
QZSS07,2021-03-19 02:00:00,sqrtA,6493.43516922
QZSS07,2021-03-19 02:00:00,Toe,439200.0
QZSS07,2021-03-19 02:00:00,Cic,-9.555369615555e-07
QZSS07,2021-03-19 02:00:00,Omega0,0.383817268627
