Satellite,Epoch Time,x,y,z
QZSS02,2021-03-19 10:00:00,-27374311.27005489,25499166.50004945,24302627.232462797
QZSS02,2021-03-19 11:00:00,-27380874.03080493,25491912.06999181,24301509.96634154
QZSS02,2021-03-19 12:00:00,-27385707.248241823,25483723.940149784,24303137.120504804
QZSS02,2021-03-19 13:00:00,-27384879.63637593,25478646.2613967,24308408.874300785
QZSS02,2021-03-19 14:00:00,-27382819.296433393,25477899.171338685,24311328.723692864
QZSS02,2021-03-19 17:00:00,-27379502.326005556,25484648.708621494,24309168.95494057
QZSS02,2021-03-19 18:00:00,-27380221.197280042,25484246.328706153,24308732.836590208
QZSS02,2021-03-19 19:00:00,-27381523.213715106,25482506.694723353,24309168.779587112
QZSS02,2021-03-19 20:00:00,-27382641.165532,25480377.152240854,24310325.57275298
QZSS02,2021-03-19 21:00:00,-27383596.519716684,25478757.206477683,24311068.040772077
QZSS02,2021-03-19 22:00:00,-27384374.348165657,25478406.96916147,24310485.888436325
QZSS02,2021-03-19 23:00:00,-27385146.348550316,25479645.062461823,24308002.717140827
QZSS02,2021-03-20 00:00:00,-27384948.15182115,25482369.549986027,24304996.183503985
QZSS03,2021-03-19 00:00:00,-31725961.81707838,15998910.680346211,-18091205.8247812
QZSS03,2021-03-19 01:00:00,-31718292.587528337,16002720.798007037,-18099333.561410543
QZSS03,2021-03-19 02:00:00,-31711499.742846828,16011043.203433167,-18102603.020536575
QZSS03,2021-03-19 03:00:00,-31707996.718510114,16018430.028897122,-18101999.952049285
QZSS03,2021-03-19 04:00:00,-31709642.210021034,16020557.140855564,-18098197.387205258
QZSS03,2021-03-19 05:00:00,-31715290.97293664,16015581.821580663,-18093822.14862728
QZSS03,2021-03-19 06:00:00,-31721688.21334472,16007868.104909463,-18089818.84683057
QZSS03,2021-03-19 07:00:00,-31725000.074634857,16004207.6864161,-18087203.948136937
QZSS03,2021-03-19 08:00:00,-31722887.41511254,16006687.997952096,-18088796.10250252
QZSS03,2021-03-19 09:00:00,-31717073.910001356,16013000.951293701,-18093826.62034066
QZSS03,2021-03-19 10:00:00,-31711818.233359884,16018967.615513852,-18098443.098344527
QZSS03,2021-03-19 11:00:00,-31710085.61754503,16019280.63454698,-18101276.02131964
